Entity,Code,Year,Long-run COâ‚‚ concentration
World,OWID_WRL,1950,312.83102
World,OWID_WRL,1952,312.18445
World,OWID_WRL,1954,312.73138
World,OWID_WRL,1955,314.71396
World,OWID_WRL,1956,315.34207
World,OWID_WRL,1957,315.34427
World,OWID_WRL,1958,315.3368
World,OWID_WRL,1959,314.15894
World,OWID_WRL,1960,313.09338
World,OWID_WRL,1961,318.20657
World,OWID_WRL,1962,317.75082
World,OWID_WRL,1963,318.3751
World,OWID_WRL,1964,319.12347
World,OWID_WRL,1965,319.544
World,OWID_WRL,1966,320.98157
World,OWID_WRL,1967,321.33356
World,OWID_WRL,1969,323.56235
World,OWID_WRL,1970,324.55707
World,OWID_WRL,1971,325.95483
World,OWID_WRL,1972,329.38318
World,OWID_WRL,1974,331.5498
World,OWID_WRL,1976,332.3657
World,OWID_WRL,1977,333.95795
World,OWID_WRL,1979,336.85
World,OWID_WRL,1980,338.91
World,OWID_WRL,1981,340.11084
World,OWID_WRL,1982,340.85666
World,OWID_WRL,1983,342.53
World,OWID_WRL,1984,344.07333
World,OWID_WRL,1985,345.5375
World,OWID_WRL,1986,346.96835
World,OWID_WRL,1987,348.68335
World,OWID_WRL,1988,351.15918
World,OWID_WRL,1989,352.78418
World,OWID_WRL,1990,354.05502
World,OWID_WRL,1991,355.39334
World,OWID_WRL,1992,356.09
World,OWID_WRL,1993,356.83334
World,OWID_WRL,1994,358.32834
World,OWID_WRL,1995,360.17166
World,OWID_WRL,1996,361.9325
World,OWID_WRL,1997,363.04666
World,OWID_WRL,1998,365.6975
World,OWID_WRL,1999,367.7958
World,OWID_WRL,2000,368.965
World,OWID_WRL,2001,370.57333
World,OWID_WRL,2002,372.5875
World,OWID_WRL,2003,375.15085
World,OWID_WRL,2004,376.9525
World,OWID_WRL,2005,378.98083
World,OWID_WRL,2006,381.14835
World,OWID_WRL,2007,382.9
World,OWID_WRL,2008,385.02084
World,OWID_WRL,2009,386.49753
World,OWID_WRL,2010,388.75668
World,OWID_WRL,2011,390.63168
World,OWID_WRL,2012,392.65
World,OWID_WRL,2013,395.39832
World,OWID_WRL,2014,397.345
World,OWID_WRL,2015,399.64917
World,OWID_WRL,2016,403.06168
World,OWID_WRL,2017,405.21667
World,OWID_WRL,2018,407.61084
World,OWID_WRL,2019,410.07166
World,OWID_WRL,2020,412.44333
World,OWID_WRL,2021,414.7042
World,OWID_WRL,2022,417.0725
World,OWID_WRL,2023,419.30835
World,OWID_WRL,2024,421.6453
